name;year;mileage;engine_power_kW;engine_power_hp;fuel;consumption;ecology;gearbox;price;currency
BMW 320;1999;312983 km;100 kW ;136 hp;Diesel;-/- (l/100 km);-/- (CO2/km);Manual;699,00;EUR
Saab 9-5;2001;208000 km;110 kW ;150 hp;Gasoline;9.3 l/100 km ;223 g CO2/km ;Manual;700,00;EUR
Skoda Octavia;2003;189000 km;75 kW ;102 hp;Gasoline;7.2 l/100 km ;173 g CO2/km ;Manual;799,00;EUR
Opel Agila;2005;160000 km;59 kW ;80 hp;Gasoline;6 l/100 km ;144 g CO2/km ;Manual;890,00;EUR
Volkswagen Lupo;2000;128970 km;37 kW ;50 hp;Gasoline;6.4 l/100 km ;154 g CO2/km ;Manual;950,00;EUR
Ford Ka/Ka+;2006;103680 km;44 kW ;60 hp;Gasoline;6.8 l/100 km ;165 g CO2/km ;Manual;950,00;EUR
Mercedes-Benz A 140;2004;169000 km;60 kW ;82 hp;Gasoline;7.1 l/100 km ;168 g CO2/km ;Manual;950,00;EUR
Renault Megane;2001;107840 km;70 kW ;95 hp;Gasoline;7.2 l/100 km ;170 g CO2/km ;Manual;975,00;EUR
Fiat Scudo;2001;269870 km;51 kW ;69 hp;Diesel;7.7 l/100 km ;204 g CO2/km ;Manual;989,00;EUR
Ford Fiesta;2004;183897 km;51 kW ;69 hp;Gasoline;6.9 l/100 km ;147 g CO2/km ;Manual;990,00;EUR
Lancia Ypsilon;2002;111000 km;44 kW ;60 hp;Gasoline;5.7 l/100 km ;136 g CO2/km ;Manual;990,00;EUR
BMW 318;2002;229800 km;105 kW ;143 hp;Gasoline;7.6 l/100 km ;185 g CO2/km ;Manual;998,00;EUR
Opel Astra;2000;137000 km;55 kW ;75 hp;Gasoline;7.2 l/100 km ;173 g CO2/km ;Manual;999,00;EUR
Volkswagen Polo;2002;134000 km;40 kW ;54 hp;Gasoline;6 l/100 km ;142 g CO2/km ;Manual;999,00;EUR
Ford Ka/Ka+;2007;94000 km;44 kW ;60 hp;Gasoline;6.8 l/100 km ;165 g CO2/km ;Manual;999,00;EUR
Opel Corsa;2003;110000 km;43 kW ;58 hp;Gasoline;5.5 l/100 km ;131 g CO2/km ;Manual;999,00;EUR
Volkswagen Golf;1998;209000 km;74 kW ;101 hp;Gasoline;7.9 l/100 km ;190 g CO2/km ;Manual;999,00;EUR
Renault Megane;2004;213000 km;88 kW ;120 hp;Diesel;5.4 l/100 km ;141 g CO2/km ;Manual;999,00;EUR
SEAT Ibiza;2005;129000 km;47 kW ;64 hp;Gasoline;6 l/100 km ;144 g CO2/km ;Manual;999,00;EUR
Ford Escort;1995;95000 km;66 kW ;90 hp;Gasoline;8.3 l/100 km ;196 g CO2/km ;Manual;999,00;EUR
Opel Astra;2000;163000 km;74 kW ;101 hp;Gasoline;7.5 l/100 km ;180 g CO2/km ;Manual;1000,00;EUR
Toyota Yaris;2001;204734 km;50 kW ;68 hp;Gasoline;5.6 l/100 km ;134 g CO2/km ;Manual;1090,00;EUR
Volkswagen Polo;2007;200000 km;44 kW ;60 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Manual;1100,00;EUR
Volvo 460;1996;112000 km;66 kW ;90 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Automatic;1150,00;EUR
