name,mark,year,mileage,engine_power_kW,engine_power_hp,fuel_type,consumption_(l/100 km),ecology_(gCO2/km),gearbox,price,currency,country,engine_size,nr_of_accidents,color_exterior,color_interior,price_eur
volkswagen golf,volkswagen,2000,163000.0,55.0,75.0,Gasoline,7.0,168.0,Manual,2499.0,EUR,Germany,0.0,,unknown,unknown,2499.0
renault laguna,renault,2007,200000.0,96.0,131.0,Diesel,6.0,159.0,Manual,2499.0,EUR,Germany,0.0,,unknown,unknown,2499.0
ford fiesta,ford,2006,63000.0,44.0,60.0,Gasoline,5.9,140.0,Manual,2499.0,EUR,Germany,0.0,,unknown,unknown,2499.0
mercedes-benz c 200,mercedes,2001,134764.0,120.0,163.0,Gasoline,9.5,227.0,Automatic,2500.0,EUR,Germany,0.0,,unknown,unknown,2500.0
mercedes-benz a 180,mercedes,2009,213700.0,80.0,109.0,Diesel,6.1,159.0,Automatic,2650.0,EUR,Germany,0.0,,unknown,unknown,2650.0
mini one,mini,2010,82000.0,55.0,75.0,Gasoline,5.3,128.0,Manual,2650.0,EUR,Germany,0.0,,unknown,unknown,2650.0
audi a4,audi,2005,216640.0,85.0,116.0,Diesel,5.6,151.0,Manual,2690.0,EUR,Germany,0.0,,unknown,unknown,2690.0
opel corsa,opel,2009,45000.0,59.0,80.0,Gasoline,5.7,137.0,Manual,2750.0,EUR,Germany,0.0,,unknown,unknown,2750.0
volkswagen jetta,volkswagen,2007,300000.0,103.0,140.0,Diesel,4.9,148.0,Manual,2777.0,EUR,Germany,0.0,,unknown,unknown,2777.0
skoda octavia,skoda,2007,196935.0,77.0,105.0,Diesel,5.4,143.0,Manual,2790.0,EUR,Germany,0.0,,unknown,unknown,2790.0
ford fiesta,ford,2008,80000.0,44.0,60.0,Gasoline,6.5,154.0,Manual,2799.0,EUR,Germany,0.0,,unknown,unknown,2799.0
honda accord,honda,2006,239000.0,103.0,140.0,Diesel,5.9,155.0,Manual,2800.0,EUR,Germany,0.0,,unknown,unknown,2800.0
peugeot 207,peugeot,2007,122323.0,54.0,73.0,Gasoline,6.3,150.0,Manual,2800.0,EUR,Germany,0.0,,unknown,unknown,2800.0
citroen c2,citroen,2004,91000.0,80.0,109.0,Gasoline,6.3,151.0,Automatic,2850.0,EUR,Germany,0.0,,unknown,unknown,2850.0
ford focus,ford,2007,123500.0,74.0,101.0,Gasoline,6.7,161.0,Manual,2875.0,EUR,Germany,0.0,,unknown,unknown,2875.0
skoda octavia,skoda,2004,87800.0,75.0,102.0,Gasoline,7.3,175.0,Manual,2885.0,EUR,Germany,0.0,,unknown,unknown,2885.0
volkswagen polo,volkswagen,2007,99800.0,51.0,69.0,Gasoline,,,Manual,2890.0,EUR,Germany,0.0,,unknown,unknown,2890.0
peugeot 206,peugeot,2009,105997.0,44.0,60.0,Gasoline,5.7,135.0,Manual,2890.0,EUR,Germany,0.0,,unknown,unknown,2890.0
citroen nemo,citroen,2012,155000.0,55.0,75.0,Diesel,4.1,119.0,Manual,2890.0,EUR,Germany,0.0,,unknown,unknown,2890.0
dacia logan,dacia,2010,137755.0,64.0,87.0,Gasoline,7.8,185.0,Manual,2890.0,EUR,Germany,0.0,,unknown,unknown,2890.0
dacia sandero,dacia,2011,180858.0,63.0,86.0,Diesel,4.4,115.0,Manual,2900.0,EUR,Germany,0.0,,unknown,unknown,2900.0
mercedes-benz e 240,mercedes,2003,173000.0,130.0,177.0,Gasoline,10.9,262.0,Manual,3299.0,EUR,Germany,0.0,,unknown,unknown,3299.0
honda civic,honda,2008,205681.0,61.0,83.0,Gasoline,5.9,139.0,Manual,3300.0,EUR,Germany,0.0,,unknown,unknown,3300.0
hyundai getz,hyundai,2008,110000.0,49.0,67.0,Gasoline,5.5,130.0,Manual,3329.0,EUR,Germany,0.0,,unknown,unknown,3329.0
ford fusion,ford,2007,148800.0,74.0,101.0,Gasoline,6.6,157.0,Manual,3366.0,EUR,Germany,0.0,,unknown,unknown,3366.0
bmw 525,bmw,2005,300000.0,130.0,177.0,Diesel,9.5,230.0,Automatic,3380.0,EUR,Germany,0.0,,unknown,unknown,3380.0
skoda fabia,skoda,2009,188818.0,63.0,86.0,Gasoline,,,Manual,3390.0,EUR,Germany,0.0,,unknown,unknown,3390.0
toyota yaris,toyota,2002,72269.0,63.0,86.0,Gasoline,6.6,157.0,Automatic,3390.0,EUR,Germany,0.0,,unknown,unknown,3390.0
